Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour,Origin,Average Temp (°C),Precipitation (mm),Rain
2025-04-02,2025-04-09,Air France,17h 30m,1,1393.0,1435.84,1050,Short,Affordable,Spring,79.6,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,20h 25m,1,992.0,1034.84,1225,Medium,Affordable,Spring,48.59,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,35h 05m,1,1513.0,1555.84,2105,Long,Expensive,Spring,43.13,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,36h 20m,1,1151.0,1193.84,2180,Long,Affordable,Spring,31.68,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1114.0,1156.84,1050,Short,Affordable,Spring,63.66,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,18h 10m,1,1167.0,1209.84,1090,Medium,Affordable,Spring,64.24,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1460.0,1502.84,1175,Medium,Expensive,Spring,74.55,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1151.0,1193.84,1340,Medium,Affordable,Spring,51.54,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1180.0,1222.84,1175,Medium,Affordable,Spring,60.26,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,18h 10m,1,1416.0,1458.84,1090,Medium,Expensive,Spring,77.94,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1166.0,1208.84,1175,Medium,Affordable,Spring,59.54,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1186.0,1228.84,1340,Medium,Affordable,Spring,53.1,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1,1163.0,1205.84,1310,Medium,Affordable,Spring,53.27,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1151.0,1193.84,1245,Medium,Affordable,Spring,55.47,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1,1536.0,1578.84,1080,Medium,Expensive,Spring,85.33,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1114.0,1156.84,1245,Medium,Affordable,Spring,53.69,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,23h 55m,1,1163.0,1205.84,1435,Medium,Affordable,Spring,48.63,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1127.0,1169.84,1175,Medium,Affordable,Spring,57.55,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,24h 55m,1,1327.0,1369.84,1495,Medium,Affordable,Spring,53.26,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1327.0,1369.84,1050,Short,Affordable,Spring,75.83,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,29h 20m,1,1163.0,1205.84,1760,Long,Affordable,Spring,39.65,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1616.0,1658.84,1175,Medium,Expensive,Spring,82.52,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1,1092.0,1134.84,1660,Long,Affordable,Spring,39.47,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1,1291.0,1333.84,1310,Medium,Affordable,Spring,59.13,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,24h 55m,1,1278.0,1320.84,1495,Medium,Affordable,Spring,51.29,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1122.0,1164.84,1245,Medium,Affordable,Spring,54.07,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,19h 35m,1,1726.0,1768.84,1175,Medium,Expensive,Spring,88.14,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1,1188.0,1230.84,1310,Medium,Affordable,Spring,54.41,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1,1127.0,1169.84,1660,Long,Affordable,Spring,40.73,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1163.0,1205.84,1050,Short,Affordable,Spring,66.46,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,31h 05m,1,1316.0,1358.84,1865,Long,Affordable,Spring,42.34,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,23h 55m,2,1242.0,1284.84,1435,Medium,Affordable,Spring,51.93,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1092.0,1134.84,1340,Medium,Affordable,Spring,48.9,LA,13.6,0.2,Yes
